date	site	transect	species	condition
2013-11-01	HBN1	2	SSID	PBUR
2013-11-07	HBN1	2	SSID	BUR
2013-11-25	HBN1	2	SSID	BUR
2014-09-12	HBN1	2	SSID	P
2014-09-22	HBN1	2	SSID	PBUR
2015-06-23	HBN1	2	SSID	P
2015-06-30	HBN1	2	SSID	FB
2015-07-09	HBN1	2	SSID	PD
2015-07-13	HBN1	2	SSID	PE, PD
2013-10-20	HBN1	2	SSID	NA
2013-10-22	HBN1	2	SSID	NA
2013-11-01	HBN1	2	SSID	NA
2013-11-07	HBN1	2	SSID	NA
2013-11-25	HBN1	2	SSID	BUR
2014-09-12	HBN1	2	SSID	SED
2014-09-22	HBN1	2	SSID	SED
2015-06-23	HBN1	2	SSID	NONE
2015-06-30	HBN1	2	SSID	PD
2015-07-09	HBN1	2	SSID	PD, PBUR
2015-07-13	HBN1	2	SSID	PD
2013-10-20	HBN1	2	SSID	NA
2013-10-22	HBN1	2	SSID	NA
2013-11-01	HBN1	2	SSID	NA
2013-11-07	HBN1	2	SSID	NA
2013-11-25	HBN1	2	SSID	BUR
2014-09-12	HBN1	2	SSID	P, SED
2014-09-22	HBN1	2	SSID	PD, SED
2015-06-23	HBN1	2	SSID	NONE
2015-06-30	HBN1	2	SSID	NONE
2015-07-09	HBN1	2	SSID	PBUR
2015-07-13	HBN1	2	SSID	NONE
2013-10-20	HBN1	2	SSID	PB
2013-10-22	HBN1	2	SSID	PB
2013-11-01	HBN1	2	SSID	NA
2013-11-07	HBN1	2	SSID	BUR
2013-11-25	HBN1	2	SSID	BUR
2014-09-12	HBN1	2	SSID	P, SED
2014-09-22	HBN1	2	SSID	FB, SED
2015-06-23	HBN1	2	SSID	NONE
2015-06-30	HBN1	2	SSID	NONE
2015-07-09	HBN1	2	SSID	P, SED
2015-07-13	HBN1	2	SSID	P
2013-10-20	HBN1	2	SSID	PB
2013-10-22	HBN1	2	SSID	NA
2013-11-01	HBN1	2	SSID	NA
2013-11-07	HBN1	2	SSID	PBUR
2013-11-25	HBN1	2	SSID	BUR
2014-09-12	HBN1	2	SSID	NONE
2014-09-22	HBN1	2	SSID	SED
2015-06-23	HBN1	2	SSID	NONE
2015-06-30	HBN1	2	SSID	SED
2015-07-09	HBN1	2	SSID	NONE
2015-07-13	HBN1	2	SSID	NONE
2013-10-20	HBN1	3	SBOU	PE
2013-10-22	HBN1	3	SBOU	PE
2013-11-01	HBN1	3	SBOU	PBUR
2013-11-07	HBN1	3	SBOU	PE, PBUR
2013-11-25	HBN1	3	SBOU	BUR
2014-09-12	HBN1	3	SBOU	PBUR, PM, PE
2014-09-22	HBN1	3	SBOU	PE, PBUR
2015-06-23	HBN1	3	SBOU	PBUR, PE, PD
2015-06-30	HBN1	3	SBOU	PM
2015-07-09	HBN1	3	SBOU	PE, P, UD
2015-07-13	HBN1	3	SBOU	PE, PBUR
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	SA
2013-11-01	HBN1	3	SSID	PBUR
2013-11-07	HBN1	3	SSID	BUR
2013-11-25	HBN1	3	SSID	BUR
2014-09-12	HBN1	3	SSID	SED, P
2014-09-22	HBN1	3	SSID	PBUR, SED
2015-06-23	HBN1	3	SSID	PE
2015-06-30	HBN1	3	SSID	PE
2015-07-09	HBN1	3	SSID	PE, PBUR
2015-07-13	HBN1	3	SSID	PE, UC
2013-10-20	HBN1	3	SSID	NA
2013-10-22	HBN1	3	SSID	NA
2013-11-01	HBN1	3	SSID	PBUR
2013-11-07	HBN1	3	SSID	NA
2013-11-25	HBN1	3	SSID	BUR
