reef	dir	dist	dist_actual	site	site0	transect	meter_mark	sdepth_cm	stype
HB	N	48	48	HBN3	HBN3-CP	EW	4	0.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	5	1.9	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	6	2.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	7	0.9	NA
HB	N	48	48	HBN3	HBN3-CP	EW	8	0.6	NA
HB	N	48	48	HBN3	HBN3-CP	EW	9	1	NA
HB	N	48	48	HBN3	HBN3-CP	EW	10	0.5	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	11	0.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	12	0.2	NA
HB	N	48	48	HBN3	HBN3-CP	EW	13	0.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	14	0.6	NA
HB	N	48	48	HBN3	HBN3-CP	EW	15	0.2	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	16	1.3	NA
HB	N	48	48	HBN3	HBN3-CP	EW	17	3.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	18	0.3	NA
HB	N	48	48	HBN3	HBN3-CP	EW	19	5.9	NA
HB	N	48	48	HBN3	HBN3-CP	EW	20	12.9	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	21	0.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	22	11.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	23	5.6	NA
HB	N	48	48	HBN3	HBN3-CP	EW	24	9.6	NA
HB	N	48	48	HBN3	HBN3-CP	EW	25	8.8	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	26	8.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	27	3.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	28	0.3	NA
HB	N	48	48	HBN3	HBN3-CP	EW	29	7.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	30	5.8	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	31	3.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	32	3.3	NA
HB	N	48	48	HBN3	HBN3-CP	EW	33	0.1	NA
HB	N	48	48	HBN3	HBN3-CP	EW	34	1.1	NA
HB	N	48	48	HBN3	HBN3-CP	EW	35	0.2	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	36	2.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	37	0.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	38	0.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	39	1.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	40	0.5	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	41	3.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	42	1.7	NA
HB	N	48	48	HBN3	HBN3-CP	EW	43	1.5	NA
HB	N	48	48	HBN3	HBN3-CP	EW	44	1.6	NA
HB	N	48	48	HBN3	HBN3-CP	EW	45	0.3	Mixed
HB	N	48	48	HBN3	HBN3-CP	EW	46	0.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	47	5.4	NA
HB	N	48	48	HBN3	HBN3-CP	EW	48	1	NA
HB	N	48	48	HBN3	HBN3-CP	EW	49	1.8	NA
HB	N	48	48	HBN3	HBN3-CP	EW	50	0.2	Fine
HB	N	48	23	HBN3	HBN3-CP	NS	0	0.6	Fine
HB	N	48	24	HBN3	HBN3-CP	NS	1	0.5	NA
HB	N	48	25	HBN3	HBN3-CP	NS	2	0.7	NA
HB	N	48	26	HBN3	HBN3-CP	NS	3	2.6	NA
HB	N	48	27	HBN3	HBN3-CP	NS	4	0.5	NA
HB	N	48	28	HBN3	HBN3-CP	NS	5	0.1	Mixed
HB	N	48	29	HBN3	HBN3-CP	NS	6	0.3	NA
HB	N	48	30	HBN3	HBN3-CP	NS	7	0.1	NA
HB	N	48	31	HBN3	HBN3-CP	NS	8	0.3	NA
HB	N	48	32	HBN3	HBN3-CP	NS	9	1	NA
HB	N	48	33	HBN3	HBN3-CP	NS	10	0.7	Mixed
HB	N	48	34	HBN3	HBN3-CP	NS	11	0.7	NA
HB	N	48	35	HBN3	HBN3-CP	NS	12	1.6	NA
HB	N	48	36	HBN3	HBN3-CP	NS	13	1.5	NA
HB	N	48	37	HBN3	HBN3-CP	NS	14	11.5	NA
HB	N	48	38	HBN3	HBN3-CP	NS	15	1.5	Mixed
HB	N	48	39	HBN3	HBN3-CP	NS	16	3.9	NA
HB	N	48	40	HBN3	HBN3-CP	NS	17	4	NA
HB	N	48	41	HBN3	HBN3-CP	NS	18	5.9	NA
HB	N	48	42	HBN3	HBN3-CP	NS	19	3.8	NA
HB	N	48	43	HBN3	HBN3-CP	NS	20	3.2	Mixed
HB	N	48	44	HBN3	HBN3-CP	NS	21	10.7	NA
HB	N	48	45	HBN3	HBN3-CP	NS	22	6.9	NA
HB	N	48	46	HBN3	HBN3-CP	NS	23	6	NA
HB	N	48	47	HBN3	HBN3-CP	NS	24	0.3	NA
HB	N	48	48	HBN3	HBN3-CP	NS	25	3	Mixed
HB	N	48	49	HBN3	HBN3-CP	NS	26	0.1	NA
HB	N	48	50	HBN3	HBN3-CP	NS	27	7.1	NA
HB	N	48	51	HBN3	HBN3-CP	NS	28	12.9	NA
HB	N	48	52	HBN3	HBN3-CP	NS	29	4	NA
HB	N	48	53	HBN3	HBN3-CP	NS	30	5	Mixed
HB	N	48	54	HBN3	HBN3-CP	NS	31	1.1	NA
HB	N	48	55	HBN3	HBN3-CP	NS	32	0.4	NA
HB	N	48	56	HBN3	HBN3-CP	NS	33	2.9	NA
HB	N	48	57	HBN3	HBN3-CP	NS	34	2.4	NA
HB	N	48	58.1	HBN3	HBN3-CP	NS	35.1	0.4	Mixed
HB	N	48	59	HBN3	HBN3-CP	NS	36	1	NA
HB	N	48	60	HBN3	HBN3-CP	NS	37	2.9	NA
HB	N	48	61	HBN3	HBN3-CP	NS	38	0.5	NA
HB	N	48	62	HBN3	HBN3-CP	NS	39	5	NA
HB	N	48	63	HBN3	HBN3-CP	NS	40	0.7	Mixed
HB	N	48	64	HBN3	HBN3-CP	NS	41	0.4	NA
HB	N	48	65	HBN3	HBN3-CP	NS	42	1	NA
HB	N	48	66	HBN3	HBN3-CP	NS	43	0.5	NA
HB	N	48	67	HBN3	HBN3-CP	NS	44	0.4	NA
HB	N	48	68	HBN3	HBN3-CP	NS	45	6.5	Mixed
HB	N	48	69	HBN3	HBN3-CP	NS	46	3.1	NA
HB	N	48	70	HBN3	HBN3-CP	NS	47	0.3	NA
HB	N	48	71	HBN3	HBN3-CP	NS	48	0.9	NA
HB	N	48	72	HBN3	HBN3-CP	NS	49	0.2	NA
HB	N	48	73	HBN3	HBN3-CP	NS	50	3.4	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	0.13	0.6	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	1	0.5	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	2	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	3	0.4	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	4	0.7	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	5	0.8	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	6	3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	7.1	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	8	1.5	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	9	0.5	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	10	3.6	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	11	2.7	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	12	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	13	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	14	0.4	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	15	0.4	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	16	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	17	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	18	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	19	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	20	2.5	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	21	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	22	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	23	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	24	0.6	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	25	0.2	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	26	1.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	27	5.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	28	1.5	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	29	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	30.2	1.6	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	31	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	32	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	33	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	34	1.9	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	35	0.7	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	36	0.6	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	37	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	38	0.4	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	39	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	40	0.5	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	41	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	42	0.4	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	43	0.3	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	44	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	45	0.1	Mixed
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	46	0.8	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	47	0.1	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	48	0.4	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	49	0.5	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	EW	50	0.6	Mixed
HB	N	2350	2325	HBNC1	HBNC1-CP	NS	0	1.2	Mixed
HB	N	2350	2326	HBNC1	HBNC1-CP	NS	1	0.1	NA
HB	N	2350	2327	HBNC1	HBNC1-CP	NS	2	0.6	NA
HB	N	2350	2328	HBNC1	HBNC1-CP	NS	3	0.5	NA
HB	N	2350	2329	HBNC1	HBNC1-CP	NS	4	0.2	NA
HB	N	2350	2330	HBNC1	HBNC1-CP	NS	5	0.3	Mixed
HB	N	2350	2331	HBNC1	HBNC1-CP	NS	6	0.2	NA
HB	N	2350	2332	HBNC1	HBNC1-CP	NS	7	0.8	NA
HB	N	2350	2333	HBNC1	HBNC1-CP	NS	8	0.5	NA
HB	N	2350	2334	HBNC1	HBNC1-CP	NS	9	0.7	NA
HB	N	2350	2335	HBNC1	HBNC1-CP	NS	10	4.7	Mixed
HB	N	2350	2336.1	HBNC1	HBNC1-CP	NS	11.1	0.5	NA
HB	N	2350	2337	HBNC1	HBNC1-CP	NS	12	1.4	NA
HB	N	2350	2338	HBNC1	HBNC1-CP	NS	13	0.7	NA
HB	N	2350	2339	HBNC1	HBNC1-CP	NS	14	0.3	NA
HB	N	2350	2340	HBNC1	HBNC1-CP	NS	15	0.6	Mixed
HB	N	2350	2341	HBNC1	HBNC1-CP	NS	16	0.2	NA
HB	N	2350	2342.2	HBNC1	HBNC1-CP	NS	17.2	0.4	NA
HB	N	2350	2343	HBNC1	HBNC1-CP	NS	18	0.1	NA
HB	N	2350	2344	HBNC1	HBNC1-CP	NS	19	1.6	NA
HB	N	2350	2345.2	HBNC1	HBNC1-CP	NS	20.2	0.5	Mixed
HB	N	2350	2346	HBNC1	HBNC1-CP	NS	21	0.6	NA
HB	N	2350	2347	HBNC1	HBNC1-CP	NS	22	0.2	NA
HB	N	2350	2348	HBNC1	HBNC1-CP	NS	23	0.4	NA
HB	N	2350	2349	HBNC1	HBNC1-CP	NS	24	0.2	NA
HB	N	2350	2350	HBNC1	HBNC1-CP	NS	25	0.4	Mixed
HB	N	2350	2351	HBNC1	HBNC1-CP	NS	26	6.5	NA
HB	N	2350	2352.1	HBNC1	HBNC1-CP	NS	27.1	0.9	NA
HB	N	2350	2353.1	HBNC1	HBNC1-CP	NS	28.1	0.4	NA
HB	N	2350	2354	HBNC1	HBNC1-CP	NS	29	0.3	NA
HB	N	2350	2355	HBNC1	HBNC1-CP	NS	30	1.5	Mixed
HB	N	2350	2356	HBNC1	HBNC1-CP	NS	31	0.2	NA
HB	N	2350	2357	HBNC1	HBNC1-CP	NS	32	0.4	NA
HB	N	2350	2358	HBNC1	HBNC1-CP	NS	33	0.5	NA
HB	N	2350	2359	HBNC1	HBNC1-CP	NS	34	0.4	NA
HB	N	2350	2360	HBNC1	HBNC1-CP	NS	35	0.2	Mixed
HB	N	2350	2361	HBNC1	HBNC1-CP	NS	36	0.3	NA
HB	N	2350	2362	HBNC1	HBNC1-CP	NS	37	1.1	NA
HB	N	2350	2363.2	HBNC1	HBNC1-CP	NS	38.2	0.5	NA
HB	N	2350	2364	HBNC1	HBNC1-CP	NS	39	0.7	NA
HB	N	2350	2365	HBNC1	HBNC1-CP	NS	40	0.1	Mixed
HB	N	2350	2366	HBNC1	HBNC1-CP	NS	41	0.1	NA
