reef	dir	channel	site	start	end	duration	total_dry	frac_fine	sedrate	finerate	middate
HB	N	control	HBNC1	2013-10-15	2013-11-12	28	29.79	69.0164484726418	1.06392857142857	0.734285714285714	2013-10-29
HB	N	control	HBNC1	2013-10-15	2013-11-12	28	30.92	66.1384217335058	1.10428571428571	0.730357142857143	2013-10-29
HB	N	control	HBNC1	2013-10-15	2013-11-12	28	34.04	67.7144535840188	1.21571428571429	0.823214285714286	2013-10-29
HB	N	channelside	HBN1	2013-10-21	2013-11-18	28	278.42	8.24294231736226	9.94357142857143	0.819642857142857	2013-11-04
HB	N	channelside	HBN1	2013-10-21	2013-11-18	28	197.13	13.7574189621062	7.04035714285714	0.968571428571429	2013-11-04
HB	N	channelside	HBN1	2013-10-21	2013-11-18	28	184.22	12.5067853653241	6.57928571428571	0.822857142857143	2013-11-04
HB	S	channelside	HBS1	2013-10-19	2013-11-18	30	39.93	46.1056849486602	1.331	0.613666666666667	2013-11-03
HB	S	channelside	HBS1	2013-10-19	2013-11-18	30	38.54	47.5609756097561	1.28466666666667	0.611	2013-11-03
HB	S	channelside	HBS1	2013-10-19	2013-11-18	30	37.62	49.4683678894205	1.254	0.620333333333333	2013-11-03
HB	S	channelside	HBS2	2013-10-19	2013-11-18	30	34.97	40.6348298541607	1.16566666666667	0.473666666666667	2013-11-03
HB	S	channelside	HBS2	2013-10-19	2013-11-18	30	49.38	47.5496152288376	1.646	0.782666666666667	2013-11-03
HB	S	channelside	HBS2	2013-10-19	2013-11-18	30	41.86	49.0683229813665	1.39533333333333	0.684666666666667	2013-11-03
HB	N	channelside	HBN2	2013-10-21	2013-11-18	28	98.86	29.7592555128465	3.53071428571429	1.05071428571429	2013-11-04
HB	N	channelside	HBN2	2013-10-21	2013-11-18	28	95.67	25.8388209470053	3.41678571428571	0.882857142857143	2013-11-04
HB	N	channelside	HBN2	2013-10-21	2013-11-18	28	96.64	27.3075331125828	3.45142857142857	0.9425	2013-11-04
HB	N	channelside	HBN3	2013-10-21	2013-11-18	28	114.55	19.4762112614579	4.09107142857143	0.796785714285714	2013-11-04
HB	N	channelside	HBN3	2013-10-21	2013-11-18	28	161.96	14.0652012842677	5.78428571428571	0.813571428571429	2013-11-04
HB	S	channelside	HBS3	2013-10-19	2013-11-18	30	33.87	60.9684086211987	1.129	0.688333333333333	2013-11-03
HB	S	channelside	HBS3	2013-10-19	2013-11-18	30	35.53	63.8896707008162	1.18433333333333	0.756666666666666	2013-11-03
HB	S	channelside	HBS3	2013-10-19	2013-11-18	30	31.4	67.4522292993631	1.04666666666667	0.706	2013-11-03
HB	S	channelside	HBS4	2013-10-20	2013-11-18	29	39.87	56.2829194883371	1.3748275862069	0.773793103448276	2013-11-03
HB	S	channelside	HBS4	2013-10-20	2013-11-18	29	42.95	57.0430733410943	1.48103448275862	0.844827586206897	2013-11-03
HB	S	channelside	HBS4	2013-10-20	2013-11-18	29	47.43	51.6129032258065	1.63551724137931	0.844137931034483	2013-11-03
HB	S	control	HBSC1	2013-10-18	2013-11-18	31	28.49	63.3555633555634	0.919032258064516	0.582258064516129	2013-11-03
HB	S	control	HBSC1	2013-10-18	2013-11-18	31	27.92	58.6318051575931	0.900645161290322	0.528064516129032	2013-11-03
HB	S	control	HBSC1	2013-10-18	2013-11-18	31	17.32	63.7990762124711	0.558709677419355	0.356451612903226	2013-11-03
R2	S	control	R2SC1	2013-10-19	2013-11-18	30	33.32	39.015606242497	1.11066666666667	0.433333333333333	2013-11-03
R2	S	control	R2SC1	2013-10-19	2013-11-18	30	31.4	38.6624203821656	1.04666666666667	0.404666666666667	2013-11-03
R2	S	control	R2SC1	2013-10-19	2013-11-18	30	29.03	42.6455390974854	0.967666666666667	0.412666666666667	2013-11-03
R2	S	channelside	R2S1	2013-10-18	2013-11-18	31	32.44	49.2601726263872	1.04645161290323	0.515483870967742	2013-11-03
R2	S	channelside	R2S1	2013-10-18	2013-11-18	31	30.93	48.3349498868413	0.997741935483871	0.482258064516129	2013-11-03
R2	S	channelside	R2S1	2013-10-18	2013-11-18	31	32.37	52.4559777571826	1.0441935483871	0.547741935483871	2013-11-03
R2	N	channelside	R2N1	2013-10-23	2013-11-18	26	50.81	25.7429639834678	1.95423076923077	0.503076923076923	2013-11-05
R2	N	channelside	R2N1	2013-10-23	2013-11-18	26	85.33	22.3368100316419	3.28192307692308	0.733076923076923	2013-11-05
R2	N	channelside	R2N1	2013-10-23	2013-11-18	26	50.39	26.1361381226434	1.93807692307692	0.506538461538462	2013-11-05
R2	N	control	R2NC1	2013-10-27	2013-11-24	28	69.86	32.8657314629258	2.495	0.82	2013-11-10
R2	N	control	R2NC1	2013-10-27	2013-11-24	28	32.65	40.2143950995406	1.16607142857143	0.468928571428572	2013-11-10
R3	N	channelside	R3N1	2013-12-04	2013-12-30	26	4.4	48.8636363636363	0.169230769230769	0.0826923076923076	2013-12-17
R3	N	channelside	R3N1	2013-12-04	2013-12-30	26	4.31	51.9721577726218	0.165769230769231	0.0861538461538461	2013-12-17
R3	N	channelside	R3N1	2013-12-04	2013-12-30	26	4.41	46.9387755102041	0.169615384615385	0.0796153846153846	2013-12-17
R3	S	channelside	R3S1	2013-12-03	2013-12-30	27	5.28	56.6287878787879	0.195555555555555	0.110740740740741	2013-12-17
R3	S	channelside	R3S1	2013-12-03	2013-12-30	27	4.49	63.4743875278396	0.166296296296296	0.105555555555556	2013-12-17
R3	S	channelside	R3S1	2013-12-03	2013-12-30	27	3.9	68.2051282051282	0.144444444444445	0.0985185185185185	2013-12-17
R3	S	channelside	R3S2	2013-12-03	2013-12-30	27	3.73	65.14745308311	0.138148148148148	0.09	2013-12-17
R3	S	channelside	R3S2	2013-12-03	2013-12-30	27	3.42	70.1754385964912	0.126666666666667	0.0888888888888888	2013-12-17
R3	S	channelside	R3S2	2013-12-03	2013-12-30	27	3.49	67.0487106017192	0.129259259259259	0.0866666666666667	2013-12-17
R3	S	channelside	R3S3	2013-12-03	2013-12-30	27	2.86	67.8321678321679	0.105925925925926	0.0718518518518518	2013-12-17
