Date,Week,Visit,Surveyor,Site,N Site,Transect,N Transect,Coral ID,Species,Condition Code,Condition Score_calc,Sediment stress,Coral w/ Sed Stress,Proportion w/ sed stress/site,Proportion Stressed Transect,Proportion  Stressed Site,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,5,PAST,SED,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,6,MCAV,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,7,MCAV,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,8,MCAV,UPM,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,8,MCAV,SED,0,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,2,9,9,MMEA,DEAD,1,,,,0.11,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,1,CNAT,SED,0,,,,0.13,0.04,,5,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,2,SSID,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,3,DLAB,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,4,PAST,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,5,PAST,UPM,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,5,PAST,M,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,5,PAST,SA,1,1,1.0,0.04,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,6,SBOU,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,6,SBOU,WP,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,7,DSTR,DEAD,1,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3S3-SG,25,3,8,8,MMEA,SED,0,,,,0.13,0.04,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,1,PAST,M,1,,,,0.20,0.05,,7,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,1,PAST,SA,1,1,1.0,0.05,0.20,0.05,,8,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,2,DSTR,DEAD,1,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,3,MMEA,DEAD,1,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,4,SBOU,MIS,,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,5,PAST,MIS,,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,6,DSTR,WP,1,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,7,DSTR,DEAD,1,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,1,5,8,PAST,MIS,,,,,0.20,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,1,MMEA,DEAD,1,,,,0.14,0.05,,7,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,2,PAST,M,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,2,PAST,SA,1,1,1.0,0.05,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,3,PAST,SED,0,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,3,PAST,P,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,4,DSTR,DEAD,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,5,PAST,P,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,6,PAST,SED,0,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,6,PAST,P,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,6,PAST,FB,1,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,2,7,7,SSID,NONE,0,,,,0.14,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,1,PAST,M,1,,,,0.13,0.05,,8,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,1,PAST,SED,0,,,,0.13,0.05,,9,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,1,PAST,P,1,,,,0.13,0.05,,10,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,2,PAST,NONE,0,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,3,MCAV,DEAD,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,4,PAST,P,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,5,SBOU,WP,1,,,,0.13,0.05,,,,
4/25/15,IA1,,AS,R3SC2-LR,20,3,8,6,PAST,SED,0,,,,0.13,0.05,,,,
