8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,1,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,9,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,12,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,14,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,11,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Finger,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Finger,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Finger,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,12,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,25,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,15,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,20,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,15,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,11,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,11,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,9,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,7,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Vase,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,7,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,3,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,18,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,13,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,11,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,12,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,4,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,6,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Sponge,Cliona,,,,,10,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Zoanthid,,,,,,8,,1
8/11/16,PC,R2NC2,3,WP,,,,,,,,,,,,,Macroalgae,,,,,,,,1
8/11/16,PC,R2NC2,1,JC,,,,,,,,,,,,,Octocoral,Eunicea,,,,,12,,1
