,,,,,,,,,,,,,,,,,,,TAGGED CORALS ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Week,Site,Transect,Surveyor,Depth,Rugosity,Bare Substrate,Hardbottom,Boulders,Sand,Rubble,Sedimentation,N Site (wout missing),N Site (wout dead or missing),Transect,N Transect (w/out missing),Category (scleractinian etc),Subcategory (Genus or Type),Tagged coral (Y/N),Coral ID,Species,Condition Code qaqc,Max Diameter,% Mortality,Octo/sponge/zoanthid count qaqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,16,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,14,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,12,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,5,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,17,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,5,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,11,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,3,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,11,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,14,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1,0
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1,0
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,8,,1,#DIV/0!
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1,#DIV/0!
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,16,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,10,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,15,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,18,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,15,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,4,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,4,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,4,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Tube/Rope,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,8,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,6,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,10,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,8,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,10,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,4,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,3,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,5,,1,
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Finger,,,,,4,,1,0
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,10,,1,0
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Sponge,Encrusting,,,,,8,,1,#DIV/0!
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Macroalgae,Dictyota,,,,,,,1,#DIV/0!
8/11/16,PC,R2NC2,1,WP,,,,,,,,,,,,,Macroalgae,Gracilaria,,,,,,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,4,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,3,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,10,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,10,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,12,,1,
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Ball,,,,,15,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,16,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,15,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,14,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,5,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,18,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,16,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,10,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,8,,1
8/11/16,PC,R2NC2,2,WP,,,,,,,,,,,,,Sponge,Vase,,,,,6,,1
